 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   0.69100 ,     0.251771994910141E+01 ,    -0.596188555322846E+01 ,     0.182612467038515E+00 ,     0.261381536834895E+01 ,     0.397959258775396E+01 ,     0.941137992151694E+00 , 
   0.71100 ,     0.200858482463253E+01 ,    -0.641365263352182E+01 ,     0.290772595417301E+00 ,     0.210848609610879E+01 ,     0.414616354920302E+01 ,     0.854099360322374E+00 , 
   0.73100 ,     0.837255309801636E+00 ,    -0.626497181442313E+01 ,     0.373835436927127E+00 ,     0.932220890068501E+00 ,     0.392615034859591E+01 ,     0.531400311187341E+00 , 
   0.75100 ,    -0.861075478245649E+00 ,    -0.554524193694828E+01 ,     0.426763456281883E+00 ,    -0.778747760475874E+00 ,     0.335564759276727E+01 ,     0.135569145401029E-01 , 
   0.77100 ,    -0.290704654854133E+01 ,    -0.433287168969867E+01 ,     0.446870314011264E+00 ,    -0.284340811027533E+01 ,     0.250002411793256E+01 ,    -0.642676665745778E+00 , 
   0.79100 ,    -0.509495109823694E+01 ,    -0.274760923176991E+01 ,     0.433888264439483E+00 ,    -0.505397456144401E+01 ,     0.144717080050992E+01 ,    -0.137008629096452E+01 , 
   0.81100 ,    -0.721233065714614E+01 ,    -0.939567046078230E+00 ,     0.389862042551051E+00 ,    -0.719569137948888E+01 ,     0.299093541252148E+00 ,    -0.209748994262351E+01 , 
   0.83100 ,    -0.905956270236211E+01 ,     0.924122016792582E+00 ,     0.318887081372961E+00 ,    -0.906663640569943E+01 ,    -0.837394580582746E+00 ,    -0.275634911381301E+01 , 
   0.85100 ,    -0.104677147755496E+02 ,     0.267389948089330E+01 ,     0.226720776499947E+00 ,    -0.104957785612726E+02 ,    -0.186007736047275E+01 ,    -0.328691300776714E+01 , 
   0.87100 ,    -0.113131378170187E+02 ,     0.415241630900743E+01 ,     0.120303581388674E+00 ,    -0.113577447391098E+02 ,    -0.268004750764011E+01 ,    -0.364336772516296E+01 , 
   0.89100 ,    -0.115275982742695E+02 ,     0.522800219557308E+01 ,     0.723138002093066E-02 ,    -0.115830820363268E+02 ,    -0.322901877352847E+01 ,    -0.379756545221509E+01 , 
   0.91100 ,    -0.111031711763497E+02 ,     0.580586376999538E+01 ,    -0.104778448535066E+00 ,    -0.111632284521421E+02 ,    -0.346466631117457E+01 ,    -0.374104567120579E+01 , 
   0.93100 ,    -0.100915958490846E+02 ,     0.583609555503842E+01 ,    -0.208387545946439E+00 ,    -0.101498897767304E+02 ,    -0.337360262166157E+01 ,    -0.348521889535736E+01 , 
   0.95100 ,    -0.859828930045020E+01 ,     0.531785004887109E+01 ,    -0.297069916176025E+00 ,    -0.864901896912892E+01 ,    -0.297180309763281E+01 ,    -0.305974909557641E+01 , 
   0.97100 ,    -0.677167632140677E+01 ,     0.429932829281665E+01 ,    -0.365452933907612E+00 ,    -0.681006319031408E+01 ,    -0.230251168214336E+01 ,    -0.250932924136163E+01 , 
   0.99100 ,    -0.478889034401552E+01 ,     0.287359461801882E+01 ,    -0.409551181456372E+00 ,    -0.481154272437215E+01 ,    -0.143186556873613E+01 ,    -0.188918158516766E+01 , 
   1.01100 ,    -0.283919229792699E+01 ,     0.117056153230547E+01 ,    -0.426889272043125E+00 ,    -0.284432218028011E+01 ,    -0.442661322037096E+00 ,    -0.125971896564834E+01 , 
   1.03100 ,    -0.110662294317874E+01 ,    -0.654194588208000E+00 ,    -0.416520388328608E+00 ,    -0.109410423887418E+01 ,     0.573171105908141E+00 ,    -0.680867060738170E+00 , 
   1.05100 ,     0.246564303902956E+00 ,    -0.243286460895515E+01 ,    -0.378956363471522E+00 ,     0.275292028554644E+00 ,     0.152272608572055E+01 ,    -0.206565514923607E+00 , 
   1.07100 ,     0.109424771756890E+01 ,    -0.399997467168612E+01 ,    -0.316031866408674E+00 ,     0.113641207167919E+01 ,     0.232021412882667E+01 ,     0.120062381128428E+00 , 
   1.09100 ,     0.135734496556160E+01 ,    -0.520688344805216E+01 ,    -0.230728978036836E+00 ,     0.140918066989863E+01 ,     0.289431129471796E+01 ,     0.270452776238045E+00 , 
   1.11100 ,     0.101039974616412E+01 ,    -0.593500099665050E+01 ,    -0.126988828512130E+00 ,     0.106755798422999E+01 ,     0.319416597293285E+01 ,     0.232944996805960E+00 , 
   1.13100 ,     0.833619228493475E-01 ,    -0.610662003752717E+01 ,    -0.953402826750810E-02 ,     0.141347061433058E+00 ,     0.319358675982399E+01 ,     0.135458026838849E-01 , 
   1.15100 ,    -0.134149239149167E+01 ,    -0.569243971145525E+01 ,     0.116280255811189E+00 ,    -0.128690102047465E+01 ,     0.289309542612437E+01 ,    -0.364920793664278E+00 , 
   1.17100 ,    -0.313712829921196E+01 ,    -0.471512707612886E+01 ,     0.244576847695951E+00 ,    -0.308950820539482E+01 ,     0.231971160064901E+01 ,    -0.865167855486245E+00 , 
   1.19100 ,    -0.514305175573999E+01 ,    -0.324858159254579E+01 ,     0.369028392998604E+00 ,    -0.510505427797913E+01 ,     0.152452530042992E+01 ,    -0.143906129726291E+01 , 
   1.21100 ,    -0.717927896989120E+01 ,    -0.141291700170459E+01 ,     0.482899657698577E+00 ,    -0.715245339241762E+01 ,     0.578294153353108E+00 ,    -0.203214634932352E+01 , 
   1.23100 ,    -0.906170716362932E+01 ,     0.634474892662385E+00 ,     0.579077941732186E+00 ,    -0.904644268868718E+01 ,    -0.434540480210068E+00 ,    -0.258865939980148E+01 , 
   1.25100 ,    -0.106175290107357E+02 ,     0.271109135086422E+01 ,     0.650115526232629E+00 ,    -0.106131136349868E+02 ,    -0.142290257885692E+01 ,    -0.305656486452377E+01 , 
   1.27100 ,    -0.116993654691843E+02 ,     0.462376067750952E+01 ,     0.688311215161608E+00 ,    -0.117041497752506E+02 ,    -0.229660286608503E+01 ,    -0.339216360618328E+01 , 
   1.29100 ,    -0.121969398276283E+02 ,     0.618421005707025E+01 ,     0.685857403000915E+00 ,    -0.122085843080688E+02 ,    -0.297371270965844E+01 ,    -0.356386682329612E+01 , 
   1.31100 ,    -0.120453634897289E+02 ,     0.722450932334513E+01 ,     0.635074441530515E+00 ,    -0.120611410687550E+02 ,    -0.338719467426185E+01 ,    -0.355481228767969E+01 , 
   1.33100 ,    -0.112294267195032E+02 ,     0.761114053895563E+01 ,     0.528745564556212E+00 ,    -0.112465481656473E+02 ,    -0.349026570849102E+01 ,    -0.336411026633886E+01 , 
   1.35100 ,    -0.978365456259724E+01 ,     0.725654434214375E+01 ,     0.360553875509589E+00 ,    -0.979958373015958E+01 ,    -0.326008161324590E+01 ,    -0.300663403407140E+01 , 
   1.37100 ,    -0.778826552180447E+01 ,     0.612718871498117E+01 ,     0.125608931733599E+00 ,    -0.780099374719396E+01 ,    -0.269947482952329E+01 ,    -0.251140281665882E+01 , 
   1.39100 ,    -0.536152427985163E+01 ,     0.424747882136092E+01 ,    -0.178964377255510E+00 ,    -0.536977842847957E+01 ,    -0.183663934253964E+01 ,    -0.191873125541698E+01 , 
   1.41100 ,    -0.264927877208415E+01 ,     0.169915609574264E+01 ,    -0.553416096627269E+00 ,    -0.265264477711334E+01 ,    -0.722823098060820E+00 ,    -0.127642779131515E+01 , 
   1.43100 ,     0.187309139711054E+00 ,    -0.138380562157321E+01 ,    -0.994793858084375E+00 ,     0.188356664246200E+00 ,     0.571753800744042E+00 ,    -0.635405251164020E+00 , 
