 Q (1/Ang),Sr-Sr,Sr-Ti,Sr-O ,Ti-Ti,Ti-O ,O-O  
   0.68100 ,     0.252068239410735E+01 ,    -0.551515237214220E+01 ,     0.135904365912130E+00 ,     0.257202558581993E+01 ,     0.408599857538132E+01 ,     0.937025186710004E+00 , 
   0.70100 ,     0.237541984798339E+01 ,    -0.626519303923265E+01 ,     0.251143820095403E+00 ,     0.243094087005005E+01 ,     0.446400512516689E+01 ,     0.973765423718977E+00 , 
   0.72100 ,     0.151950529219425E+01 ,    -0.641967015577394E+01 ,     0.343215217896355E+00 ,     0.157410970135719E+01 ,     0.441576245981799E+01 ,     0.756926323602608E+00 , 
   0.74100 ,     0.606673747250426E-01 ,    -0.598146046025201E+01 ,     0.406498687022508E+00 ,     0.109687395500573E+00 ,     0.396448120160256E+01 ,     0.318124804581387E+00 , 
   0.76100 ,    -0.184133169930512E+01 ,    -0.500486778581930E+01 ,     0.437696034574945E+00 ,    -0.180175330699166E+01 ,     0.316777746340567E+01 ,    -0.291977855431764E+00 , 
   0.78100 ,    -0.399103801093208E+01 ,    -0.358991088859344E+01 ,     0.435927038497531E+00 ,    -0.396365940262479E+01 ,     0.211131638344210E+01 ,    -0.100902957217987E+01 , 
   0.80100 ,    -0.617628702437777E+01 ,    -0.187292363478223E+01 ,     0.402648892271564E+00 ,    -0.616259343907614E+01 ,     0.900327420491484E+00 ,    -0.176135309322872E+01 , 
   0.82100 ,    -0.818807309652677E+01 ,    -0.142804577085507E-01 ,     0.341416169456864E+00 ,    -0.818822606550082E+01 ,    -0.350227168158478E+00 ,    -0.247672977566017E+01 , 
   0.84100 ,    -0.983953019719114E+01 ,     0.181571708984515E+01 ,     0.257509866765008E+00 ,    -0.985243689623527E+01 ,    -0.152596364825995E+01 ,    -0.308899005108482E+01 , 
   0.86100 ,    -0.109823745780558E+02 ,     0.345161711836515E+01 ,     0.157472410243880E+00 ,    -0.110058640443055E+02 ,    -0.252298878895259E+01 ,    -0.354383494687402E+01 , 
   0.88100 ,    -0.115194275296122E+02 ,     0.474703628603999E+01 ,     0.485903647863170E-01 ,    -0.115505117914583E+02 ,    -0.325659367928633E+01 ,    -0.380339774576403E+01 , 
   0.90100 ,    -0.114122167054815E+02 ,     0.558715151331567E+01 ,    -0.616323211856297E-01 ,    -0.114474085911924E+02 ,    -0.366803640548990E+01 ,    -0.384917992772749E+01 , 
   0.92100 ,    -0.106831120973639E+02 ,     0.589844070679954E+01 ,    -0.165970334719022E+00 ,    -0.107187680344729E+02 ,    -0.372889990495226E+01 ,    -0.368314911552250E+01 , 
   0.94100 ,    -0.941194606111851E+01 ,     0.565487607770957E+01 ,    -0.257908060171065E+00 ,    -0.944460172389647E+01 ,    -0.344272790439856E+01 ,    -0.332695480391455E+01 , 
   0.96100 ,    -0.772755212173854E+01 ,     0.488006493925194E+01 ,    -0.331980122929027E+00 ,    -0.775422122331403E+01 ,    -0.284387695866177E+01 ,    -0.281938521283216E+01 , 
   0.98100 ,    -0.579509260260214E+01 ,     0.364516486181363E+01 ,    -0.384006287245186E+00 ,    -0.581350410303155E+01 ,    -0.199375641495886E+01 ,    -0.221234105871513E+01 , 
   1.00100 ,    -0.380039371248342E+01 ,     0.206274623116940E+01 ,    -0.411216727793839E+00 ,    -0.380914965479554E+01 ,    -0.974841433302895E+00 ,    -0.156572640970484E+01 , 
   1.02100 ,    -0.193274024630797E+01 ,     0.277107833382155E+00 ,    -0.412274442613717E+00 ,    -0.193138461862992E+01 ,     0.116980029650100E+00 ,    -0.941742830318165E+00 , 
   1.04100 ,    -0.367682852810019E+00 ,    -0.154815670985064E+01 ,    -0.387210861201943E+00 ,    -0.356680505661056E+00 ,     0.118104062426767E+01 ,    -0.399114047933112E+00 , 
   1.06100 ,     0.748626773994443E+00 ,    -0.324431568521454E+01 ,    -0.337297616131328E+00 ,     0.767993854871252E+00 ,     0.212075700646992E+01 ,     0.122382142635525E-01 , 
   1.08100 ,     0.131222684813093E+01 ,    -0.465220779302331E+01 ,    -0.264881323003061E+00 ,     0.133803143702973E+01 ,     0.285197189025926E+01 ,     0.255599166316103E+00 , 
   1.10100 ,     0.127019995247282E+01 ,    -0.563628033269479E+01 ,    -0.173208696586835E+00 ,     0.130008969257779E+01 ,     0.331008470919748E+01 ,     0.310571493342308E+00 , 
   1.12100 ,     0.624897993778816E+00 ,    -0.609678362398407E+01 ,    -0.662664171454110E-01 ,     0.656340405083112E+00 ,     0.345539774431453E+01 ,     0.174640558583728E+00 , 
   1.14100 ,    -0.566733899452725E+00 ,    -0.597909268412898E+01 ,     0.513457942266361E-01 ,    -0.536205862432844E+00 ,     0.327626603745757E+01 ,    -0.136912862411320E+00 , 
   1.16100 ,    -0.219857105019103E+01 ,    -0.527935624371323E+01 ,     0.174498741615658E+00 ,    -0.217113596550143E+01 ,     0.278983099372513E+01 ,    -0.592709157620625E+00 , 
   1.18100 ,    -0.412488695726549E+01 ,    -0.404596871073261E+01 ,     0.297573516965147E+00 ,    -0.410225414583947E+01 ,     0.204032273642634E+01 ,    -0.114838932474061E+01 , 
   1.20100 ,    -0.617317200648413E+01 ,    -0.237669906506656E+01 ,     0.414466975596402E+00 ,    -0.615645767650896E+01 ,     0.109511777082665E+01 ,    -0.175084717536605E+01 , 
   1.22100 ,    -0.815901037038074E+01 ,    -0.411664657515758E+00 ,     0.518581446862452E+00 ,    -0.814867923375074E+01 ,     0.389198413045159E-01 ,    -0.234317074668361E+01 , 
   1.24100 ,    -0.990168307177501E+01 ,     0.167732115432373E+01 ,     0.602824094209654E+00 ,    -0.989755731910563E+01 ,    -0.103342138227812E+01 ,    -0.286983391372018E+01 , 
   1.26100 ,    -0.112391368891652E+02 ,     0.370019844109205E+01 ,     0.659645131109281E+00 ,    -0.112404679041055E+02 ,    -0.202483817416807E+01 ,    -0.328166595040836E+01 , 
   1.28100 ,    -0.120410508620640E+02 ,     0.546384336856771E+01 ,     0.681144090485525E+00 ,    -0.120466432979379E+02 ,    -0.284405549639931E+01 ,    -0.354015615140763E+01 , 
   1.30100 ,    -0.122189333738799E+02 ,     0.678777036896604E+01 ,     0.659269206580900E+00 ,    -0.122273067114295E+02 ,    -0.341302838397603E+01 ,    -0.362071918992186E+01 , 
   1.32100 ,    -0.117324724619145E+02 ,     0.751908772008380E+01 ,     0.586126798787737E+00 ,    -0.117420422816501E+02 ,    -0.367321068074622E+01 ,    -0.351464779989540E+01 , 
   1.34100 ,    -0.105917120482021E+02 ,     0.754549039084943E+01 ,     0.454405890115184E+00 ,    -0.106009721821116E+02 ,    -0.359016790911931E+01 ,    -0.322960300767174E+01 , 
   1.36100 ,    -0.885500440404417E+01 ,     0.680522280173144E+01 ,     0.257909109377442E+00 ,    -0.886269189737834E+01 ,    -0.315619220814504E+01 ,    -0.278862699705206E+01 , 
   1.38100 ,    -0.662305988691268E+01 ,     0.529318022649158E+01 ,    -0.783447527050805E-02 ,    -0.662828714650353E+01 ,    -0.239074668291887E+01 ,    -0.222779745129696E+01 , 
   1.40100 ,    -0.402974581719918E+01 ,     0.306262222154534E+01 ,    -0.344914013758376E+00 ,    -0.403208814229463E+01 ,    -0.133874571913125E+01 ,    -0.159276284787440E+01 , 
   1.42100 ,    -0.123054869658485E+01 ,     0.222320333682780E+00 ,    -0.752391530894793E+00 ,    -0.123008016001936E+01 ,    -0.668519745906986E-01 ,    -0.934495023681268E+00 , 
   1.44100 ,     0.161021389524086E+01 ,    -0.307067267921574E+01 ,    -0.122572859427794E+01 ,     0.161293801565464E+01 ,     0.134187415984626E+01 ,    -0.304660017790852E+00 , 
   1.46100 ,     0.433227645061317E+01 ,    -0.662209329296196E+01 ,    -0.175635154127346E+01 ,     0.433628731127900E+01 ,     0.279451290147870E+01 ,     0.248964608140287E+00 , 
   1.48100 ,     0.679128601358970E+01 ,    -0.102145288569973E+02 ,    -0.233142036330435E+01 ,     0.679531089356268E+01 ,     0.419546787704537E+01 ,     0.686609960947007E+00 , 
   1.50100 ,     0.886865983569656E+01 ,    -0.136233794759271E+02 ,    -0.293385838305559E+01 ,     0.887126215922809E+01 ,     0.545371237370375E+01 ,     0.979807383709127E+00 , 
   1.52100 ,     0.104786821446649E+02 ,    -0.166334736992901E+02 ,    -0.354268543724395E+01 ,     0.104784176797308E+02 ,     0.648952802160198E+01 ,     0.111356774900575E+01 , 
   1.54100 ,     0.115723657201169E+02 ,    -0.190550359160277E+02 ,    -0.413367706582436E+01 ,     0.115679397726316E+02 ,     0.724022033105463E+01 ,     0.108727195376344E+01 , 
