       Q,      F(Q)_RMC,  F(Q)_Expt
      0.7599998 ,      -1.6430916 ,      -0.8297538
      0.7799998 ,      -1.4416138 ,      -0.7588535
      0.7999998 ,      -1.2569345 ,      -0.7004203
      0.8199998 ,      -1.0933605 ,      -0.6571303
      0.8399998 ,      -0.9544926 ,      -0.6311795
      0.8599998 ,      -0.8431618 ,      -0.6242397
      0.8799998 ,      -0.7613873 ,      -0.6374257
      0.8999998 ,      -0.7103534 ,      -0.6712750
      0.9199998 ,      -0.6904072 ,      -0.7257403
      0.9399998 ,      -0.7010752 ,      -0.8001939
      0.9599998 ,      -0.7410963 ,      -0.8934452
      0.9799998 ,      -0.8084718 ,      -1.0037698
      0.9999998 ,      -0.9005290 ,      -1.1289500
      1.0199998 ,      -1.0139973 ,      -1.2663259
      1.0399998 ,      -1.1450937 ,      -1.4128547
      1.0599998 ,      -1.2896174 ,      -1.5651793
      1.0799998 ,      -1.4430495 ,      -1.7197023
      1.0999998 ,      -1.6006571 ,      -1.8726648
      1.1199998 ,      -1.7575991 ,      -2.0202296
      1.1399998 ,      -1.9090324 ,      -2.1585640
      1.1599998 ,      -2.0502160 ,      -2.2839240
      1.1799998 ,      -2.1766116 ,      -2.3927356
      1.1999998 ,      -2.2839793 ,      -2.4816726
      1.2199998 ,      -2.3684667 ,      -2.5477295
      1.2399998 ,      -2.4266888 ,      -2.5882875
      1.2599998 ,      -2.4557999 ,      -2.6011727
      1.2799998 ,      -2.4535534 ,      -2.5847050
      1.2999998 ,      -2.4183499 ,      -2.5377372
      1.3199998 ,      -2.3492732 ,      -2.4596834
      1.3399998 ,      -2.2461112 ,      -2.3505362
      1.3599998 ,      -2.1093640 ,      -2.2108719
      1.3799998 ,      -1.9402365 ,      -2.0418449
      1.3999998 ,      -1.7406170 ,      -1.8451704
      1.4199998 ,      -1.5130415 ,      -1.6230959
      1.4399998 ,      -1.2606446 ,      -1.3783626
      1.4599998 ,      -0.9870975 ,      -1.1141578
      1.4799998 ,      -0.6965352 ,      -0.8340576
      1.4999998 ,      -0.3934737 ,      -0.5419636
      1.5199998 ,      -0.0827188 ,      -0.2420322
      1.5399998 ,       0.2307302 ,       0.0613991
      1.5599998 ,       0.5417813 ,       0.3638906
      1.5799998 ,       0.8453516 ,       0.6609791
      1.5999998 ,       1.1364691 ,       0.9482582
      1.6199998 ,       1.4103706 ,       1.2214563
      1.6399998 ,       1.6625951 ,       1.4765124
      1.6599998 ,       1.8890699 ,       1.7096468
      1.6799998 ,       2.0861872 ,       1.9174277
      1.6999998 ,       2.2508711 ,       2.0968296
      1.7199998 ,       2.3806319 ,       2.2452847
      1.7399998 ,       2.4736079 ,       2.3607258
      1.7599998 ,       2.5285940 ,       2.4416195
      1.7799998 ,       2.5450557 ,       2.4869893
      1.7999998 ,       2.5231306 ,       2.4964298
      1.8199998 ,       2.4636150 ,       2.4701087
      1.8399998 ,       2.3679385 ,       2.4087602
      1.8599998 ,       2.2381270 ,       2.3136676
      1.8799998 ,       2.0767534 ,       2.1866366
      1.8999998 ,       1.8868805 ,       2.0299595
      1.9199998 ,       1.6719947 ,       1.8463711
      1.9399998 ,       1.4359336 ,       1.6389982
      1.9599998 ,       1.1828093 ,       1.4113016
      1.9799998 ,       0.9169274 ,       1.1670138
      1.9999998 ,       0.6427064 ,       0.9100727
      2.0199998 ,       0.3645960 ,       0.6445525
      2.0399998 ,       0.0869980 ,       0.3745929
      2.0599998 ,      -0.1858099 ,       0.1043291
      2.0799998 ,      -0.4497445 ,      -0.1621782
      2.0999998 ,      -0.7009831 ,      -0.4210094
      2.1199998 ,      -0.9360211 ,      -0.6684493
      2.1399998 ,      -1.1517231 ,      -0.9010464
      2.1599998 ,      -1.3453643 ,      -1.1156659
      2.1799998 ,      -1.5146640 ,      -1.3095364
      2.1999998 ,      -1.6578098 ,      -1.4802894
      2.2199998 ,      -1.7734721 ,      -1.6259915
      2.2399998 ,      -1.8608105 ,      -1.7451677
      2.2599998 ,      -1.9194705 ,      -1.8368167
      2.2799998 ,      -1.9495721 ,      -1.9004178
      2.2999998 ,      -1.9516915 ,      -1.9359285
      2.3199998 ,      -1.9268346 ,      -1.9437748
      2.3399998 ,      -1.8764048 ,      -1.9248327
      2.3599998 ,      -1.8021651 ,      -1.8804022
      2.3799998 ,      -1.7061964 ,      -1.8121752
      2.3999998 ,      -1.5908513 ,      -1.7221961
      2.4199998 ,      -1.4587057 ,      -1.6128180
      2.4399998 ,      -1.3125089 ,      -1.4866535
      2.4599998 ,      -1.1551327 ,      -1.3465228
      2.4799998 ,      -0.9895205 ,      -1.1953985
      2.4999998 ,      -0.8186375 ,      -1.0363498
      2.5199998 ,      -0.6454228 ,      -0.8724853
      2.5399998 ,      -0.4727434 ,      -0.7068971
      2.5599998 ,      -0.3033513 ,      -0.5426060
      2.5799998 ,      -0.1398445 ,      -0.3825096
      2.5999998 ,       0.0153687 ,      -0.2293335
      2.6199998 ,       0.1601005 ,      -0.0855870
      2.6399998 ,       0.2924105 ,       0.0464763
      2.6599998 ,       0.4106271 ,       0.1648927
      2.6799998 ,       0.5133651 ,       0.2680159
      2.6999998 ,       0.5995371 ,       0.3545384
      2.7199998 ,       0.6683610 ,       0.4235063
      2.7399998 ,       0.7193628 ,       0.4743269
      2.7599998 ,       0.7523737 ,       0.5067694
      2.7799998 ,       0.7675238 ,       0.5209593
      2.7999998 ,       0.7652311 ,       0.5173660
      2.8199998 ,       0.7461868 ,       0.4967837
      2.8399998 ,       0.7113361 ,       0.4603079
      2.8599998 ,       0.6618570 ,       0.4093054
      2.8799998 ,       0.5991346 ,       0.3453804
      2.8999998 ,       0.5247343 ,       0.2703373
      2.9199998 ,       0.4403712 ,       0.1861393
      2.9399998 ,       0.3478790 ,       0.0948663
      2.9599998 ,       0.2491770 ,      -0.0013297
      2.9799998 ,       0.1462361 ,      -0.1002693
      2.9999998 ,       0.0410446 ,      -0.1997893
      3.0199998 ,      -0.0644260 ,      -0.2977862
      3.0399998 ,      -0.1682546 ,      -0.3922565
      3.0599998 ,      -0.2686031 ,      -0.4813351
      3.0799998 ,      -0.3637474 ,      -0.5633293
      3.0999998 ,      -0.4521062 ,      -0.6367495
      3.1199998 ,      -0.5322678 ,      -0.7003343
      3.1399998 ,      -0.6030128 ,      -0.7530713
      3.1599998 ,      -0.6633348 ,      -0.7942119
      3.1799998 ,      -0.7124561 ,      -0.8232806
      3.1999998 ,      -0.7498399 ,      -0.8400784
      3.2199998 ,      -0.7751978 ,      -0.8446805
      3.2399998 ,      -0.7884929 ,      -0.8374285
      3.2599998 ,      -0.7899378 ,      -0.8189166
      3.2799998 ,      -0.7799882 ,      -0.7899732
      3.2999998 ,      -0.7593312 ,      -0.7516380
      3.3199998 ,      -0.7288694 ,      -0.7051340
      3.3399998 ,      -0.6897004 ,      -0.6518370
      3.3599998 ,      -0.6430923 ,      -0.5932420
      3.3799998 ,      -0.5904551 ,      -0.5309268
      3.3999998 ,      -0.5333098 ,      -0.4665150
      3.4199998 ,      -0.4732539 ,      -0.4016385
      3.4399998 ,      -0.4119258 ,      -0.3378992
      3.4599998 ,      -0.3509677 ,      -0.2768330
      3.4799998 ,      -0.2919882 ,      -0.2198747
      3.4999998 ,      -0.2365250 ,      -0.1683260
      3.5199998 ,      -0.1860093 ,      -0.1233260
      3.5399998 ,      -0.1417319 ,      -0.0858264
      3.5599998 ,      -0.1048123 ,      -0.0565702
